country,machine_type,week_start,year,month,iso_week,bookings,revenue_usd,seasonality_index,demand_level
Australia,Backhoe Loader,2023-01-16,2023,1,3,1,5391,1.25,Low
Australia,Backhoe Loader,2023-02-06,2023,2,6,1,5047,1.3,Low
Australia,Backhoe Loader,2023-03-13,2023,3,11,1,3212,1.25,Low
Australia,Backhoe Loader,2023-05-08,2023,5,19,1,2318,1.45,Low
Australia,Backhoe Loader,2023-05-29,2023,5,22,1,1625,1.45,Low
Australia,Backhoe Loader,2023-06-12,2023,6,24,1,2246,1.25,Low
Australia,Backhoe Loader,2023-07-03,2023,7,27,1,7557,1.15,Low
Australia,Backhoe Loader,2023-07-24,2023,7,30,1,8517,1.15,Low
Australia,Backhoe Loader,2023-08-21,2023,8,34,1,1816,1.1,Low
Australia,Backhoe Loader,2023-10-30,2023,10,44,1,4043,1.35,Low
Australia,Backhoe Loader,2024-01-01,2024,1,1,1,4129,1.25,Low
Australia,Backhoe Loader,2024-01-29,2024,1,5,1,11433,1.25,Low
Australia,Backhoe Loader,2024-03-11,2024,3,11,1,1892,1.25,Low
Australia,Backhoe Loader,2024-04-22,2024,4,17,1,2753,1.35,Low
Australia,Backhoe Loader,2024-07-22,2024,7,30,1,1778,1.15,Low
Australia,Backhoe Loader,2024-07-29,2024,7,31,1,8126,1.15,Low
Australia,Backhoe Loader,2024-09-23,2024,9,39,1,3145,1.25,Low
Australia,Backhoe Loader,2024-10-21,2024,10,43,1,4684,1.35,Low
Australia,Backhoe Loader,2024-11-04,2024,11,45,1,3785,1.3,Low
Australia,Backhoe Loader,2025-01-13,2025,1,3,1,6668,1.25,Low
Australia,Backhoe Loader,2025-02-03,2025,2,6,1,8938,1.3,Low
Australia,Backhoe Loader,2025-04-14,2025,4,16,1,1218,1.35,Low
Australia,Backhoe Loader,2025-04-21,2025,4,17,1,9273,1.35,Low
Australia,Backhoe Loader,2025-05-12,2025,5,20,1,9435,1.45,Low
Australia,Backhoe Loader,2025-08-18,2025,8,34,1,1797,1.1,Low
Australia,Backhoe Loader,2025-09-15,2025,9,38,1,2810,1.25,Low
Australia,Backhoe Loader,2025-09-22,2025,9,39,1,4588,1.25,Low
Australia,Backhoe Loader,2025-10-20,2025,10,43,1,6883,1.35,Low
Australia,Backhoe Loader,2025-11-10,2025,11,46,1,2695,1.3,Low
Australia,Backhoe Loader,2025-11-24,2025,11,48,1,3111,1.3,Low
Australia,Backhoe Loader,2025-12-22,2025,12,52,1,7112,1.25,Low
Australia,Backhoe Loader,2026-02-09,2026,2,7,1,7915,1.3,Low
Australia,Backhoe Loader,2026-03-09,2026,3,11,1,2318,1.25,Low
Australia,Backhoe Loader,2026-04-06,2026,4,15,1,5277,1.35,Low
