asset_id,qr_code,rfid_tag,asset_name,equipment_type,manufacturer,model,serial_number,purchase_year,engine_type,fuel_type,fuel_capacity_l,horsepower,operating_weight_kg,country,current_site_id,current_status,total_engine_hours,expected_life_hours,last_service_date,next_service_due,daily_rental_rate,purchase_cost,condition,ownership,iot_enabled,image_url
MAC00001,QR-00001-2MDG3T,RFID43591464,Komatsu HD465-7 #0001,Dump Truck,Komatsu,HD465-7,KOM5669108,2024,Diesel,Diesel,750,206,13367,Germany,SITE0138,transit,1456,18000,2022-10-30,2023-05-01,628,154637,Fair,Leased,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00002,QR-00002-42P31O,RFID32484558,Tsurumi HS3.75S #0002,Water Pump,Tsurumi,HS3.75S,TSU6707286,2020,Diesel,Diesel,60,52,3337,India,SITE0060,available,6109,8000,2022-07-05,2022-09-10,92,22622,Good,Leased,True,https://images.catrental.com/assets/water-pump.jpg
MAC00003,QR-00003-BGUAXN,RFID55462982,Grindex Major H #0003,Water Pump,Grindex,Major H,GRI1704049,2022,Electric-Hybrid,Diesel,60,54,2266,Germany,SITE0012,rented,6712,8000,2022-06-26,2022-10-14,164,37503,Good,Owned,True,https://images.catrental.com/assets/water-pump.jpg
MAC00004,QR-00004-WB4LL3,RFID49386369,Linde H30D #0004,Forklift,Linde,H30D,LIN3009122,2019,Diesel,Diesel,55,60,3900,USA,SITE0050,transit,8143,12000,2021-12-25,2022-05-21,239,46100,Excellent,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00005,QR-00005-OAKGDE,RFID80458179,JCB VMT 860 #0005,Road Roller,JCB,VMT 860,JCB6030147,2025,Diesel,Diesel,200,165,8213,India,SITE0132,rented,347,9000,2022-04-20,2022-09-05,277,75023,Good,Leased,True,https://images.catrental.com/assets/road-roller.jpg
MAC00006,QR-00006-3TUYKT,RFID49935956,Caterpillar D8T #0006,Bulldozer,Caterpillar,D8T,CAT2336525,2018,Diesel,Diesel,620,449,31541,India,SITE0063,rented,13250,15000,2021-12-10,2022-06-26,744,141511,Fair,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00007,QR-00007-3ODF76,RFID43229057,Caterpillar 420F #0007,Backhoe Loader,Caterpillar,420F,CAT8872257,2019,Diesel,Diesel,130,147,7999,India,SITE0058,maintenance,9716,10000,2022-05-01,2022-07-10,223,66857,Fair,Owned,True,https://images.catrental.com/assets/backhoe-loader.jpg
MAC00008,QR-00008-ASJ21G,RFID83492765,Hyster H50FT #0008,Forklift,Hyster,H50FT,HYS7843602,2020,Diesel,Diesel,55,67,4839,USA,SITE0145,rented,10482,12000,2022-04-15,2022-08-14,231,54248,Fair,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00009,QR-00009-XR9OGJ,RFID27205509,Volvo L120H #0009,Wheel Loader,Volvo,L120H,VOL5278178,2020,Diesel,Diesel,380,257,16592,Australia,SITE0130,transit,12685,13000,2022-10-29,2023-04-14,850,153552,Excellent,Leased,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00010,QR-00010-Z3ADHF,RFID96968167,Caterpillar 420F #0010,Backhoe Loader,Caterpillar,420F,CAT4526654,2023,Diesel,Diesel,130,167,8944,India,SITE0023,rented,3662,10000,2022-11-04,2023-01-03,238,49178,Good,Owned,True,https://images.catrental.com/assets/backhoe-loader.jpg
