telemetry_id,timestamp,date,asset_id,operator_id,previous_operator_id,site_id,latitude,longitude,speed_kmh,engine_hours_today,idle_hours_today,total_engine_hours,fuel_used_l,expected_fuel_l,fuel_level_pct,engine_temperature_c,oil_pressure_kpa,coolant_temperature_c,oil_temperature_c,battery_voltage_v,hydraulic_pressure_bar,vibration_g,rpm,gps_status,network_strength_pct,zero_activity_streak_days,is_anomaly,anomaly_type,maintenance_within_30d
292873,2026-04-26T18:00:00Z,2026-04-26,MAC00026,OP0179,OP0179,SITE0028,22.67195,88.35294,14.6,4.1,0.3,10408.2,272.74,261.69,43.4,92.1,41.3,85.8,91.9,23.62,195.2,0.586,1991,OK,61,0,0,,0
290669,2026-04-28T18:00:00Z,2026-04-28,MAC00468,OP0211,OP0211,SITE0163,-34.94037,138.57939,13.4,7.88,2.82,7048.5,715.07,938.13,45.4,90.7,40.4,72.6,78.4,25.05,201.3,0.333,1912,OK,79,0,0,,0
293748,2026-05-01T18:00:00Z,2026-05-01,MAC00038,OP0089,OP0089,SITE0150,22.56527,88.30989,14.7,9.93,0.47,7719.1,587.41,616.25,48.7,97.7,46.4,79.9,85.7,23.63,197.4,0.565,1855,OK,64,0,0,,0
295281,2026-05-01T18:00:00Z,2026-05-01,MAC00250,OP0077,OP0077,SITE0058,17.36888,78.51947,12.6,6.19,1.28,3691.3,101.94,98.48,50.6,92.8,41.3,79.3,94.2,23.88,203.0,0.45,1700,OK,94,0,0,,0
293742,2026-05-05T18:00:00Z,2026-05-05,MAC00006,OP0118,OP0118,SITE0169,18.54645,73.82104,7.8,6.77,1.04,11470.4,764.54,701.63,68.9,94.2,43.3,82.2,93.3,24.58,217.2,0.612,1800,OK,62,0,0,,0
296394,2026-05-06T18:00:00Z,2026-05-06,MAC00126,OP0093,OP0093,SITE0077,21.09119,79.00906,18.2,8.45,1.33,4726.0,731.62,823.18,30.3,89.8,44.9,86.0,96.6,23.99,207.9,0.479,2119,OK,68,0,0,,0
296752,2026-05-07T18:00:00Z,2026-05-07,MAC00025,OP0152,OP0152,SITE0011,13.04298,80.25093,13.2,5.74,1.25,6571.4,185.05,190.99,36.4,93.1,53.0,82.3,91.8,24.05,209.6,0.612,1881,OK,81,0,0,,0
292560,2026-05-11T18:00:00Z,2026-05-11,MAC00303,OP0108,OP0108,SITE0175,21.25752,81.60165,24.4,5.33,1.81,10678.7,177.65,188.19,56.5,98.9,39.9,87.6,94.1,24.26,190.1,0.723,1905,OK,72,0,0,,0
294638,2026-05-13T18:00:00Z,2026-05-13,MAC00230,OP0052,OP0052,SITE0134,18.96549,72.7605,10.1,2.31,7.04,5479.1,73.14,75.72,49.7,92.0,47.0,82.4,88.8,24.05,208.0,0.526,1830,OK,68,0,1,excess_idle,0
298734,2026-05-14T18:00:00Z,2026-05-14,MAC00010,OP0023,OP0023,SITE0128,20.27578,85.85226,19.0,6.7,1.6,4843.0,460.99,425.99,43.8,93.6,43.3,84.1,85.1,24.25,201.8,0.506,1865,OK,84,0,0,,0
293260,2026-05-14T18:00:00Z,2026-05-14,MAC00538,OP0158,OP0158,SITE0169,18.54552,73.82174,10.5,5.21,2.99,15671.0,348.61,350.39,36.8,95.9,47.8,83.9,94.1,22.84,206.4,0.817,1899,OK,62,0,0,,0
296765,2026-05-16T18:00:00Z,2026-05-16,MAC00298,OP0024,OP0024,SITE0082,21.1533,79.12749,19.9,3.4,1.1,8677.9,56.59,58.38,62.5,97.8,37.7,79.5,96.6,24.4,184.9,0.594,1512,OK,71,0,0,,0
298083,2026-05-17T18:00:00Z,2026-05-17,MAC00328,OP0051,OP0051,SITE0132,28.68189,77.25274,16.1,3.8,1.08,3954.7,201.39,239.09,49.8,90.5,43.7,80.9,86.4,23.96,191.2,0.354,1827,OK,69,0,0,,0
296659,2026-05-17T18:00:00Z,2026-05-17,MAC00300,OP0217,OP0217,SITE0133,-32.01021,115.89443,22.5,3.35,0.94,7623.3,242.19,220.34,36.5,94.2,49.1,79.5,84.9,24.64,203.9,0.464,1856,OK,66,0,0,,0
298515,2026-05-19T18:00:00Z,2026-05-19,MAC00110,OP0218,OP0218,SITE0045,18.45132,73.87868,18.6,5.75,2.12,5864.5,279.24,370.12,43.5,92.6,47.9,80.9,89.3,24.11,206.6,0.387,1927,OK,76,0,0,,0
298524,2026-05-20T18:00:00Z,2026-05-20,MAC00501,OP0168,OP0168,SITE0153,12.99845,77.56083,21.3,5.72,2.53,7028.6,280.72,373.55,48.5,89.5,49.9,77.1,89.7,24.5,200.3,0.493,1720,OK,87,0,0,,0
298507,2026-05-20T18:00:00Z,2026-05-20,MAC00348,OP0207,OP0207,SITE0053,18.50132,73.87963,12.4,6.79,2.77,9412.9,316.2,455.13,73.7,90.3,42.0,82.5,88.8,23.67,193.9,0.653,1742,OK,79,0,0,,0
291590,2026-05-21T18:00:00Z,2026-05-21,MAC00430,OP0253,OP0253,SITE0024,12.98237,77.64153,18.4,7.09,1.33,3382.1,147.41,145.23,24.7,93.9,47.5,75.3,91.5,24.23,208.8,0.523,1760,OK,84,0,0,,0
297508,2026-05-22T18:00:00Z,2026-05-22,MAC00233,OP0118,OP0118,SITE0129,21.18382,79.23319,10.2,6.57,1.86,5527.4,155.31,138.81,49.2,94.9,47.6,82.8,90.2,24.29,195.9,0.566,1631,OK,77,0,0,,0
299316,2026-05-23T18:00:00Z,2026-05-23,MAC00153,OP0252,OP0252,SITE0106,34.00609,-118.25525,6.8,0.3,2.71,13754.1,33.01,37.71,52.8,93.3,39.5,81.3,92.0,23.99,213.5,0.551,1921,OK,76,0,1,excess_idle,0
298747,2026-05-25T18:00:00Z,2026-05-25,MAC00183,OP0152,OP0152,SITE0083,22.57458,88.37234,11.6,8.0,1.51,6091.2,479.8,516.22,95.5,91.7,45.8,85.6,93.0,24.39,220.5,0.499,1784,OK,85,0,0,,0
301896,2026-05-25T18:00:00Z,2026-05-25,MAC00476,OP0218,OP0218,SITE0123,17.30311,78.46582,19.3,7.23,1.69,5457.6,109.54,118.23,20.9,96.4,42.6,82.6,90.7,24.9,225.1,0.616,1828,OK,80,0,0,,0
301893,2026-05-26T18:00:00Z,2026-05-26,MAC00416,OP0051,OP0051,SITE0077,21.09407,79.00776,20.6,6.41,1.26,7113.7,796.65,763.9,79.4,94.1,42.1,79.2,88.8,24.57,197.3,0.504,1853,OK,83,0,0,,0
297527,2026-05-26T18:00:00Z,2026-05-26,MAC00383,OP0184,OP0184,SITE0069,18.44155,73.75026,16.8,6.91,1.22,5340.0,153.38,145.5,49.8,90.9,49.3,80.4,95.6,24.4,191.9,0.575,1827,OK,77,0,0,,0
301617,2026-05-26T18:00:00Z,2026-05-26,MAC00094,OP0141,OP0141,SITE0004,18.9955,72.86999,17.3,8.62,0.34,7256.8,153.08,144.98,73.1,92.8,47.1,84.1,92.3,23.98,197.7,0.635,1861,OK,66,0,0,,0
297832,2026-05-27T18:00:00Z,2026-05-27,MAC00370,OP0087,OP0087,SITE0037,23.08552,72.54246,13.4,6.08,1.99,7714.4,713.27,727.58,54.3,92.7,38.8,79.0,89.7,24.55,196.9,0.528,1875,OK,74,0,0,,0
300429,2026-05-27T18:00:00Z,2026-05-27,MAC00474,OP0253,OP0253,SITE0084,23.06868,72.56169,11.8,8.06,2.08,9485.6,509.11,552.96,86.7,93.3,43.3,78.1,98.1,23.98,199.3,0.567,1761,OK,80,0,0,,0
298556,2026-05-27T18:00:00Z,2026-05-27,MAC00444,OP0038,OP0038,SITE0167,17.42625,78.60174,12.0,7.17,0.92,10763.7,596.15,580.06,58.0,90.7,43.7,80.9,94.6,24.2,208.7,0.547,1579,OK,82,0,0,,0
300703,2026-05-27T18:00:00Z,2026-05-27,MAC00289,OP0185,OP0185,SITE0010,21.13944,79.03803,12.7,6.87,0.83,10131.8,537.62,464.08,60.5,94.5,40.8,83.2,96.4,23.67,217.0,0.621,2014,OK,60,0,0,,0
301568,2026-05-28T18:00:00Z,2026-05-28,MAC00385,OP0166,OP0166,SITE0047,23.12205,72.602,10.9,6.49,2.56,4486.2,483.42,497.35,63.5,89.9,44.4,80.1,91.6,24.1,202.4,0.462,1814,OK,70,0,0,,0
295584,2026-05-28T18:00:00Z,2026-05-28,MAC00498,OP0179,OP0179,SITE0134,18.97106,72.75813,8.8,6.51,2.01,4736.9,407.16,391.36,63.6,88.9,41.6,80.6,89.1,23.94,208.7,0.425,1794,OK,60,0,0,,0
294547,2026-05-28T18:00:00Z,2026-05-28,MAC00528,OP0165,OP0165,SITE0148,13.00752,80.27437,10.9,6.33,1.75,6726.5,400.66,411.94,46.9,87.8,40.1,75.7,90.6,24.28,197.4,0.585,1738,OK,93,0,0,,0
297225,2026-05-29T18:00:00Z,2026-05-29,MAC00161,OP0110,OP0110,SITE0167,17.42244,78.59764,20.4,7.64,1.75,5228.5,737.4,897.4,58.1,86.5,47.9,82.2,82.8,24.4,213.7,0.32,1790,OK,67,0,0,,0
301821,2026-05-29T18:00:00Z,2026-05-29,MAC00029,OP0010,OP0010,SITE0153,12.9942,77.56047,17.5,1.69,6.1,7190.3,110.48,110.39,63.0,96.1,46.6,84.8,87.8,23.92,191.0,0.521,1848,OK,93,0,1,excess_idle,0
300794,2026-05-29T18:00:00Z,2026-05-29,MAC00464,OP0111,OP0111,SITE0015,18.44994,73.78356,15.3,5.34,1.38,5870.8,176.19,175.91,70.8,95.8,49.1,83.3,92.2,24.23,172.2,0.703,1667,OK,92,0,0,,0
292951,2026-05-29T18:00:00Z,2026-05-29,MAC00181,OP0102,OP0102,SITE0090,21.27534,81.62006,15.8,1.87,7.86,6572.6,109.3,124.86,86.8,90.9,40.9,82.8,88.3,24.8,194.0,0.468,1668,OK,93,0,1,excess_idle,0
301546,2026-05-30T18:00:00Z,2026-05-30,MAC00545,OP0152,OP0152,SITE0036,22.80697,86.17148,16.2,4.05,0.25,14840.7,249.87,270.53,23.5,95.1,40.8,82.6,92.7,23.97,185.4,0.707,1879,OK,70,0,0,,0
302985,2026-05-30T18:00:00Z,2026-05-30,MAC00009,OP0218,OP0218,SITE0144,19.07088,72.91052,9.5,3.91,1.31,3355.0,68.19,61.85,49.5,89.7,37.4,76.5,90.8,24.52,177.5,0.611,1671,OK,91,0,0,,0
