telemetry_id,timestamp,date,asset_id,operator_id,previous_operator_id,site_id,latitude,longitude,speed_kmh,engine_hours_today,idle_hours_today,total_engine_hours,fuel_used_l,expected_fuel_l,fuel_level_pct,engine_temperature_c,oil_pressure_kpa,coolant_temperature_c,oil_temperature_c,battery_voltage_v,hydraulic_pressure_bar,vibration_g,rpm,gps_status,network_strength_pct,zero_activity_streak_days,is_anomaly,anomaly_type,maintenance_within_30d
309515,2026-05-16T18:00:00Z,2026-05-16,MAC00304,OP0039,OP0039,SITE0101,-20.77507,116.87957,22.1,3.43,0.59,12792.9,267.65,224.57,73.2,90.6,47.8,86.4,90.6,23.84,191.7,0.677,1911,OK,86,0,0,,0
309516,2026-05-17T18:00:00Z,2026-05-17,MAC00304,OP0039,OP0039,SITE0101,-20.77363,116.88216,10.9,3.6,0.31,12796.5,207.87,235.39,49.6,95.1,39.5,86.4,97.4,23.97,199.5,0.696,1774,OK,76,0,0,,0
309517,2026-05-18T18:00:00Z,2026-05-18,MAC00304,OP0039,OP0039,SITE0101,-20.77298,116.87745,24.5,6.81,1.84,12803.4,315.64,445.24,21.6,94.0,41.1,87.1,100.7,24.22,200.2,0.741,2018,OK,67,0,0,,0
309518,2026-05-19T18:00:00Z,2026-05-19,MAC00304,OP0039,OP0039,SITE0101,-20.77222,116.87745,24.3,7.18,2.6,12810.5,452.97,469.51,37.1,96.1,37.1,85.5,92.9,24.03,178.5,0.801,1588,OK,90,0,0,,0
309519,2026-05-20T18:00:00Z,2026-05-20,MAC00304,OP0039,OP0039,SITE0101,-20.77203,116.88022,17.0,5.81,0.87,12816.3,369.0,380.32,77.4,89.4,42.1,86.1,97.3,23.87,194.5,0.718,1905,OK,75,0,0,,0
310927,2026-05-16T18:00:00Z,2026-05-16,MAC00513,OP0169,OP0169,SITE0049,51.48539,7.43993,18.0,3.29,0.7,13749.9,239.29,231.04,65.1,97.3,39.1,84.9,99.5,25.49,174.0,0.667,1764,OK,90,0,0,,0
310928,2026-05-17T18:00:00Z,2026-05-17,MAC00513,OP0169,OP0169,SITE0049,51.48735,7.44208,19.8,3.43,0.78,13753.3,233.0,240.93,65.9,89.2,38.8,80.2,94.2,23.98,211.0,0.682,1757,OK,82,0,0,,0
310929,2026-05-18T18:00:00Z,2026-05-18,MAC00513,OP0169,OP0169,SITE0049,51.48868,7.44032,19.0,5.61,2.2,13758.9,407.21,394.61,27.1,96.0,34.5,86.1,91.9,24.01,205.2,0.776,1879,OK,66,0,0,,0
310930,2026-05-19T18:00:00Z,2026-05-19,MAC00513,OP0169,OP0169,SITE0049,51.48556,7.43825,14.5,7.65,1.74,13766.6,504.14,537.87,72.4,101.9,42.8,82.2,97.3,24.2,195.4,0.692,1502,OK,67,0,0,,0
310931,2026-05-20T18:00:00Z,2026-05-20,MAC00513,OP0169,OP0169,SITE0049,51.48542,7.44262,28.8,7.35,0.62,13773.9,514.05,516.99,67.4,100.1,42.8,86.0,95.8,24.0,195.0,0.983,1969,OK,86,0,0,,0
310932,2026-05-21T18:00:00Z,2026-05-21,MAC00513,OP0169,OP0169,SITE0049,51.4893,7.43714,14.0,7.8,1.15,13781.7,560.99,548.89,58.9,94.6,41.2,86.4,102.1,23.06,192.9,0.657,1646,OK,83,0,0,,0
311033,2026-05-16T18:00:00Z,2026-05-16,MAC00350,OP0224,OP0224,SITE0160,-37.83846,144.85735,11.5,2.87,1.39,7850.2,189.93,178.18,81.7,92.4,36.4,79.4,75.8,24.23,206.7,0.422,1792,OK,78,0,0,,0
