customer_id,customer_name,segment,typical_order_min,typical_order_max,contract_probability,bulk_probability
C300,Enterprise Builder 000,enterprise_builder,2,8,0.55,0.1
C301,Mining Corp 001,mining_corp,5,25,0.9,0.5
C302,Small Contractor 002,small_contractor,1,2,0.05,0.0
C303,Small Contractor 003,small_contractor,1,2,0.05,0.0
C304,Mid Contractor 004,mid_contractor,1,4,0.2,0.02
C305,Gov Infra 005,gov_infra,4,20,0.85,0.35
C306,Mid Contractor 006,mid_contractor,1,4,0.2,0.02
C307,Mining Corp 007,mining_corp,5,25,0.9,0.5
C308,Mining Corp 008,mining_corp,5,25,0.9,0.5
C309,Enterprise Builder 009,enterprise_builder,2,8,0.55,0.1
C310,Gov Infra 010,gov_infra,4,20,0.85,0.35
C311,Mining Corp 011,mining_corp,5,25,0.9,0.5
C312,Gov Infra 012,gov_infra,4,20,0.85,0.35
C313,Mid Contractor 013,mid_contractor,1,4,0.2,0.02
C314,Mining Corp 014,mining_corp,5,25,0.9,0.5
C315,Small Contractor 015,small_contractor,1,2,0.05,0.0
C316,Mining Corp 016,mining_corp,5,25,0.9,0.5
C317,Gov Infra 017,gov_infra,4,20,0.85,0.35
C318,Mining Corp 018,mining_corp,5,25,0.9,0.5
C319,Enterprise Builder 019,enterprise_builder,2,8,0.55,0.1
C320,Small Contractor 020,small_contractor,1,2,0.05,0.0
C321,Enterprise Builder 021,enterprise_builder,2,8,0.55,0.1
C322,Mid Contractor 022,mid_contractor,1,4,0.2,0.02
C323,Mining Corp 023,mining_corp,5,25,0.9,0.5
C324,Mining Corp 024,mining_corp,5,25,0.9,0.5
C325,Mid Contractor 025,mid_contractor,1,4,0.2,0.02
C326,Enterprise Builder 026,enterprise_builder,2,8,0.55,0.1
C327,Small Contractor 027,small_contractor,1,2,0.05,0.0
C328,Enterprise Builder 028,enterprise_builder,2,8,0.55,0.1
C329,Gov Infra 029,gov_infra,4,20,0.85,0.35
C330,Enterprise Builder 030,enterprise_builder,2,8,0.55,0.1
C331,Small Contractor 031,small_contractor,1,2,0.05,0.0
C332,Mining Corp 032,mining_corp,5,25,0.9,0.5
C333,Enterprise Builder 033,enterprise_builder,2,8,0.55,0.1
C334,Mid Contractor 034,mid_contractor,1,4,0.2,0.02
C335,Small Contractor 035,small_contractor,1,2,0.05,0.0
C336,Mining Corp 036,mining_corp,5,25,0.9,0.5
C337,Small Contractor 037,small_contractor,1,2,0.05,0.0
C338,Mid Contractor 038,mid_contractor,1,4,0.2,0.02
C339,Gov Infra 039,gov_infra,4,20,0.85,0.35
C340,Small Contractor 040,small_contractor,1,2,0.05,0.0
C341,Small Contractor 041,small_contractor,1,2,0.05,0.0
C342,Enterprise Builder 042,enterprise_builder,2,8,0.55,0.1
C343,Mid Contractor 043,mid_contractor,1,4,0.2,0.02
C344,Mid Contractor 044,mid_contractor,1,4,0.2,0.02
