date,region,equipment_type,units_active,new_bookings,bulk_units,month,day_of_week,day_of_year,season,is_weekend
2023-01-01,Northeast_US,Excavator,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Bulldozer,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Crane,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Grader,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Loader,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Dump_Truck,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Snow_Remover,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Concrete_Mixer,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Generator,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Compactor,0,0,0,1,6,1,winter,1
2023-01-01,Northeast_US,Drill_Rig,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Excavator,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Bulldozer,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Crane,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Grader,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Loader,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Dump_Truck,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Snow_Remover,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Concrete_Mixer,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Generator,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Compactor,0,0,0,1,6,1,winter,1
2023-01-01,Midwest_US,Drill_Rig,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Excavator,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Bulldozer,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Crane,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Grader,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Loader,20,20,0,1,6,1,winter,1
2023-01-01,Southeast_US,Dump_Truck,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Snow_Remover,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Concrete_Mixer,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Generator,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Compactor,0,0,0,1,6,1,winter,1
2023-01-01,Southeast_US,Drill_Rig,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Excavator,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Bulldozer,1,1,0,1,6,1,winter,1
2023-01-01,Southwest_US,Crane,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Grader,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Loader,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Dump_Truck,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Snow_Remover,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Concrete_Mixer,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Generator,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Compactor,0,0,0,1,6,1,winter,1
2023-01-01,Southwest_US,Drill_Rig,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Excavator,20,20,0,1,6,1,winter,1
