site_id,site_name,region,site_type,latitude,longitude,geofence_radius_m
S100,Nova-00,West_Coast,mining,47.28827,-98.61944,1500
S101,Zulu-01,Southeast_US,construction_residential,44.72786,-106.1906,1500
S102,Nova-02,Southeast_US,oil_gas,25.84403,-119.24477,1000
S103,Bravo-03,Southeast_US,mining,44.89294,-79.45393,500
S104,Ridge-04,West_Coast,mining,26.24669,-96.00427,1500
S105,Alpha-05,Southwest_US,construction_commercial,31.14229,-116.92529,1000
S106,Ridge-06,Southwest_US,construction_residential,25.664,-89.9788,750
S107,Foxtrot-07,Midwest_US,oil_gas,25.31451,-101.9685,750
S108,Ridge-08,Northeast_US,construction_residential,39.89732,-115.68556,1000
S109,Foxtrot-09,West_Coast,mining,44.19865,-71.06679,750
S110,Summit-10,Southwest_US,construction_commercial,33.82248,-74.21912,750
S111,Foxtrot-11,Northeast_US,mining,32.81713,-81.46326,1000
S112,Foxtrot-12,Northeast_US,infrastructure_roads,44.26195,-92.68414,1500
S113,Ridge-13,Midwest_US,oil_gas,36.13985,-106.04824,1500
S114,Zulu-14,Southwest_US,construction_commercial,47.55782,-111.1045,1500
S115,Nova-15,Midwest_US,construction_residential,32.31806,-98.45928,1500
S116,Delta-16,Southwest_US,mining,47.19096,-117.1827,1000
S117,Ridge-17,Northeast_US,construction_residential,37.09687,-99.32588,750
S118,Delta-18,Southwest_US,construction_residential,35.79828,-71.663,1000
S119,Nova-19,West_Coast,construction_residential,44.5906,-77.97357,1500
S120,Ridge-20,Southeast_US,oil_gas,25.82568,-120.30528,1000
S121,Bravo-21,Midwest_US,mining,47.50177,-82.94004,500
S122,Delta-22,Southwest_US,infrastructure_roads,45.77875,-121.51649,500
S123,Zulu-23,Southeast_US,infrastructure_roads,34.9058,-110.81334,1500
S124,Delta-24,West_Coast,construction_commercial,29.0266,-91.08744,1500
S125,Echo-25,West_Coast,mining,45.99507,-116.27164,1500
S126,Ridge-26,Southeast_US,infrastructure_roads,40.33734,-75.45894,1500
S127,Summit-27,Southeast_US,construction_commercial,26.69882,-72.95728,1000
S128,Foxtrot-28,Southwest_US,mining,44.44199,-113.24228,1500
S129,Bravo-29,Southwest_US,construction_commercial,33.77138,-104.61621,1000
