date,region,temp_c,precipitation_mm,snowfall_mm,season
2023-01-01,Northeast_US,-6.5,33.4,0.0,winter
2023-01-02,Northeast_US,-4.6,31.2,0.0,winter
2023-01-03,Northeast_US,-4.7,0.0,0.0,winter
2023-01-04,Northeast_US,3.5,0.0,0.0,winter
2023-01-05,Northeast_US,-2.1,34.8,0.0,winter
2023-01-06,Northeast_US,-2.0,0.0,0.0,winter
2023-01-07,Northeast_US,-3.1,17.4,9.4,winter
2023-01-08,Northeast_US,-3.2,0.0,0.0,winter
2023-01-09,Northeast_US,-3.2,0.0,0.0,winter
2023-01-10,Northeast_US,-0.5,0.0,0.0,winter
2023-01-11,Northeast_US,-4.3,0.0,0.0,winter
2023-01-12,Northeast_US,-4.4,0.0,0.0,winter
2023-01-13,Northeast_US,-9.0,28.8,0.0,winter
2023-01-14,Northeast_US,-2.1,25.3,6.2,winter
2023-01-15,Northeast_US,-6.5,0.0,0.0,winter
2023-01-16,Northeast_US,-1.7,0.0,16.2,winter
2023-01-17,Northeast_US,-1.7,26.5,0.0,winter
2023-01-18,Northeast_US,-6.2,0.0,0.0,winter
2023-01-19,Northeast_US,-2.8,0.0,0.0,winter
2023-01-20,Northeast_US,-6.2,0.0,0.0,winter
2023-01-21,Northeast_US,-5.1,0.0,9.1,winter
2023-01-22,Northeast_US,-6.6,0.0,4.4,winter
2023-01-23,Northeast_US,-3.3,0.0,0.0,winter
2023-01-24,Northeast_US,-3.3,0.0,0.0,winter
2023-01-25,Northeast_US,0.3,0.0,0.0,winter
2023-01-26,Northeast_US,-8.1,0.0,0.0,winter
2023-01-27,Northeast_US,-1.4,0.0,10.1,winter
2023-01-28,Northeast_US,-1.9,0.0,15.5,winter
2023-01-29,Northeast_US,-2.2,0.0,0.0,winter
2023-01-30,Northeast_US,-2.3,0.0,14.0,winter
2023-01-31,Northeast_US,-5.0,0.0,0.0,winter
2023-02-01,Northeast_US,-6.4,0.0,0.0,winter
2023-02-02,Northeast_US,-3.0,11.7,0.0,winter
2023-02-03,Northeast_US,-9.0,6.6,0.0,winter
2023-02-04,Northeast_US,-2.2,29.9,0.0,winter
2023-02-05,Northeast_US,-3.4,0.0,0.0,winter
2023-02-06,Northeast_US,-5.8,13.2,0.0,winter
2023-02-07,Northeast_US,2.3,0.0,0.0,winter
2023-02-08,Northeast_US,-5.4,4.2,23.1,winter
2023-02-09,Northeast_US,-1.9,0.0,0.0,winter
2023-02-10,Northeast_US,0.1,0.0,16.3,winter
2023-02-11,Northeast_US,-0.2,0.0,0.0,winter
2023-02-12,Northeast_US,-0.9,0.0,8.2,winter
2023-02-13,Northeast_US,-1.8,0.0,0.0,winter
2023-02-14,Northeast_US,-4.9,5.7,0.0,winter
2023-02-15,Northeast_US,-2.1,22.8,16.9,winter
2023-02-16,Northeast_US,-5.3,0.0,0.0,winter
2023-02-17,Northeast_US,0.6,0.0,0.0,winter
2023-02-18,Northeast_US,-4.7,0.0,10.8,winter
2023-02-19,Northeast_US,0.4,0.0,13.3,winter
2023-02-20,Northeast_US,-2.4,0.0,28.5,winter
2023-02-21,Northeast_US,-3.5,18.0,0.0,winter
2023-02-22,Northeast_US,-1.2,35.0,0.0,winter
2023-02-23,Northeast_US,-2.8,25.7,0.0,winter
2023-02-24,Northeast_US,-4.6,31.3,0.0,winter
2023-02-25,Northeast_US,4.4,5.0,0.0,winter
2023-02-26,Northeast_US,4.9,30.6,6.9,winter
2023-02-27,Northeast_US,2.4,0.0,0.0,winter
2023-02-28,Northeast_US,-2.4,0.0,0.0,winter
2023-03-01,Northeast_US,-4.7,0.0,0.0,spring
2023-03-02,Northeast_US,-2.5,0.0,29.2,spring
2023-03-03,Northeast_US,1.4,0.0,0.0,spring
